Nombre,Activo,Código,Eslora,Flota,Matrícula,Potencia en HP,Tipo de flota
SIRIUS II,Yes,2489,"59,25","ALTURA, FRESQUERO",5355,"1288,6",31
MARIA GLORIA,Yes,2763,"28,05","ALTURA, FRESQUERO",02738,851,31
RAFFAELA,Yes,2280,"26,5","ALTURA, FRESQUERO",6224,"624,2",31
GRAN CAPITAN,Yes,1656,"25,43","ALTURA, FRESQUERO",5301,"540,9",31
LEKHAN I,Yes,1865,"18,45","COSTEROS, FRESQUERO",6237,"530,2",21
PONTE DE RANDE,Yes,2243,"79,14","ALTURA, PROC.CONGELADOR",6483,"2963,8",32
ITXAS LUR,Yes,1735,"63,3","ALTURA, PROC.CONGELADOR",6459,"1951,7",32
FONSECA,Yes,1610,"62,4","ALTURA, PROC.CONGELADOR",6567,"2002,7",32
PUENTE MAYOR,Yes,2703,"66,86","ALTURA, PROC.CONGELADOR",02630,"2416,1",32
COALSA SEGUNDO,Yes,1333,"76,2","ALTURA, PROC.CONGELADOR",6211,"2959,7",32
NATALE,Yes,2074,"19,54","ALTURA, FRESQUERO",5151,"330,2",31
SIEMPRE MARIA MADRE,Yes,2470,"13,94","FRESQUERO, RADA O RIA",3936,"128,9",11
FLORIDABLANCA,Yes,1606,"27,67","ALTURA, FRESQUERO",5936,"540,9",31
PANCOCHULO,Yes,0,0,"FRESQUERO, RADA O RIA",02718M,0,11
EL CILINDRO,Yes,0,0,"FRESQUERO, RADA O RIA",03008M,0,11
LA UNION,Yes,0,0,"COSTEROS, FRESQUERO",1688-M,0,21
DON DOMINGO,Yes,1422,"18,2","FRESQUERO, RADA O RIA",6076,"281,9",11
DON PEDRO.,Yes,1458,"73,6","ALTURA, PROC.CONGELADOR",6205,"2369,1",32
STELLA MARIS I.,Yes,2504,"68,2","ALTURA, PROC.CONGELADOR",6576,"1946,3",32
TANGO I,Yes,2709,"50,4","ALTURA, PROC.CONGELADOR",02724,1302,32
FRANCA,Yes,1612,"27,29","ALTURA, FRESQUERO",5926,"492,6",31
CHATKA I,Yes,0,"16,73","COSTEROS, FRESQUERO",02893,"194,6",21
ARPLATA II,Yes,1163,"13,33","FRESQUERO, RADA O RIA",0632,0,11
SANTA BARBARA (02339M),Yes,0,0,"FRESQUERO, RADA O RIA",02339M,0,11
BENIAMINO I,Yes,0,0,"FRESQUERO, RADA O RIA",02666M,0,11
HUAFENG 819,Yes,0,"23,82","ALTURA, FRESQUERO",6032,"652,3",31
NATALIA,Yes,2075,"68,45","ALTURA, PROC.CONGELADOR",02066,"1778,5",32
PESCARGEN IV,Yes,2217,"63,2","ALTURA, PROC.CONGELADOR",6223,"1602,7",32
FABIAN K,Yes,0,0,"FRESQUERO, RADA O RIA",02244,0,11
SAN MATEO.,Yes,0,"9,8","COSTEROS, FRESQUERO",1962,180,21
SOLE MIO,Yes,2495,"12,95","FRESQUERO, RADA O RIA",6226,"281,9",11
ALDEBARAN,Yes,1038,"26,42","ALTURA, FRESQUERO",4716,"425,5",31
DON MIGUEL,Yes,1447,"20,09","FRESQUERO, RADA O RIA",4563,320,11
ESKUBYDU,Yes,0,0,"FRESQUERO, RADA O RIA",03024,0,11
