BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
1558;ESPADARTE;32;ALTURA,PROC.CONGELADOR;68,20;1528,9;02048
2753;XIN SHI JI 25;32;ALTURA,PROC.CONGELADOR;70,50;0,0;03092
2224;PETREL;31;ALTURA, FRESQUERO;29,85;775,8;01445
2727;ATLANTIC EXPRESS;32;ALTURA,PROC.CONGELADOR;53,70;3425,5;02936
1916;MADRE INMACULADA;32;ALTURA,PROC.CONGELADOR;62,80;1852,3;02378
1128;ARBUMASA XXVII;32;ALTURA,PROC.CONGELADOR;64,21;1154,4;02057
0;MADRE MARGARITA;31;ALTURA, FRESQUERO;25,60;540,9;02728
1087;ANGELUS;32;ALTURA,PROC.CONGELADOR;52,60;1336,9;01953
2430;SCIROCCO;32;ALTURA,PROC.CONGELADOR;65,93;1589,3;02574
1415;DON CARLOS I;21;COSTEROS, FRESQUERO;12,65;200,0;02358
0;EL BARBA NEGRA;21;COSTEROS, FRESQUERO;16,55;518,1;02847
1495;ECHIZEN MARU;32;ALTURA,PROC.CONGELADOR;89,59;4702,0;6488
0;SAN MATEO;32;ALTURA,PROC.CONGELADOR;54,10;1233,6;6306
2758;HUYU 908;32;ALTURA,PROC.CONGELADOR;72,00;0,0;03058
0;XIN SHI JI 28;32;ALTURA,PROC.CONGELADOR;70,50;0,0;03146
2748;HUYU 907;32;ALTURA,PROC.CONGELADOR;72,17;1677,9;03027
1568;ESTHER 153;32;ALTURA,PROC.CONGELADOR;55,10;1252,3;02058
2080;NAVEGANTES II;32;ALTURA,PROC.CONGELADOR;63,70;1602,7;1451
2346;SAN ARAWA II;32;ALTURA,PROC.CONGELADOR;56,46;4698,0;02098
1312;CHOKYU MARU N║ 18.;32;ALTURA,PROC.CONGELADOR;68,70;1777,2;02584
0;LUNA SEKA II;11;RADA O RIA, FRESQUERO;6,70;0,0;02059M
0;BERRETIN II;11;RADA O RIA, FRESQUERO;12,25;0,0;02393
2059;MOBY DICK;21;COSTEROS, FRESQUERO;6,20;65,0;0649-M
1557;ESAMAR N║ 4;32;ALTURA,PROC.CONGELADOR;54,80;1502,0;6169
1051;ALTALENA;31;ALTURA, FRESQUERO;55,80;1350,3;5139
1428;DON FRANCISCO I;32;ALTURA,PROC.CONGELADOR;66,55;1775,8;02562
0;HUAFENG 822;31;ALTURA, FRESQUERO;25,00;527,5;5323
2708;VENTARRON 1║;32;ALTURA,PROC.CONGELADOR;63,07;1969,1;6041
2081;NAVEGANTES III;32;ALTURA,PROC.CONGELADOR;68,60;2202,7;02065
2723;CAPESANTE;32;ALTURA,PROC.CONGELADOR;50,15;2550,3;02929
2780;SAN JUAN B;32;ALTURA,PROC.CONGELADOR;39,94;1204,0;6068
0;LAIA;32;ALTURA,PROC.CONGELADOR;53,00;1185,2;6521
2028;MATEO I;32;ALTURA,PROC.CONGELADOR;67,97;1775,8;02172
1713;IGLU I;31;ALTURA, FRESQUERO;32,75;660,4;5714
